70_100,70_80,70_50,70_30,70_0,60_100,60_80,60_50,60_30,60_0,50_100,50_80,50_50,50_30,50_0,40_100,40_80,40_50,40_30,40_0
8.47E-07,,5.12E-07,,-2.19E-09,,3.10E-07,,-2.72E-10,-9.40E-10,,-2.38E-07,4.85E-08,,,3.37E-07,,,-1.12E-08,-7.70E-11
-2.50E-06,,4.08E-07,,-9.17E-11,,5.34E-07,,2.50E-09,-8.65E-11,,-2.75E-07,6.55E-08,,,3.97E-07,,,1.86E-09,1.63E-10
-2.13E-06,,1.33E-06,,-6.82E-10,,5.57E-07,,2.05E-09,-3.76E-10,,-3.15E-07,6.25E-08,,,4.45E-07,,,-7.34E-09,1.24E-10
-4.42E-07,,1.85E-06,,1.46E-09,,6.06E-07,,4.10E-09,1.22E-09,,-3.59E-07,5.57E-08,,,4.89E-07,,,-1.29E-08,2.41E-10
1.12E-05,,1.50E-06,,-3.12E-09,,4.41E-07,,9.21E-10,-1.72E-09,,-4.05E-07,5.83E-08,,,5.31E-07,,,-7.04E-09,-6.36E-11
-7.82E-06,,1.32E-06,,1.83E-08,,5.03E-07,,1.82E-08,1.17E-08,,-4.28E-07,8.03E-08,,,5.59E-07,,,3.27E-09,1.28E-09
9.10E-06,,3.62E-06,,3.84E-09,,4.38E-07,,7.60E-09,2.83E-09,,-4.82E-07,7.26E-08,,,5.77E-07,,,-4.88E-09,6.45E-10
4.86E-06,,5.23E-06,,7.58E-10,,4.32E-07,,5.74E-09,1.10E-09,,-5.48E-07,5.74E-08,,,5.87E-07,,,-9.92E-09,1.76E-10
4.93E-06,,6.90E-06,,-4.89E-09,,5.77E-07,,3.25E-09,-2.35E-09,,-6.01E-07,4.96E-08,,,5.94E-07,,,-1.00E-08,-4.73E-10
8.39E-06,,5.79E-06,,-2.39E-09,,8.06E-07,,6.45E-09,-7.46E-10,,-6.21E-07,6.48E-08,,,5.97E-07,,,2.24E-09,-1.38E-10
-3.47E-06,,1.54E-06,,1.67E-08,,1.12E-06,,1.84E-08,1.21E-08,,-6.47E-07,6.07E-08,,,5.97E-07,,,6.94E-09,2.57E-09
